"NOMBRE_EST","NIVMOD","NIVELMODAL","TIPEST","COMUNA","ESTADO","POINT_X","POINT_Y","nivel","long","lat","niv","num_niv","geometry"
"Esc. Primaria Común N° 09 Juan Crisóstomo Lafinur","PriCom","Nivel Primario Común","Escuela de Jornada Completa",14,"1",102243.3074,105031.6036,"Primario Común",-58.438848732209,-34.583910705438,"Primario",1,c(-58.438848732209, -34.583910705438)
"Esc. de Comercio N° 27 Antártida Argentina","SecCom","Nivel Secundario Común","Escuela de Comercio",1,"1",108165.9693,100592.1958,"Secundario Común",-58.3742526659445,-34.6238996764503,"Secundario",1,c(-58.3742526659445, -34.6238996764503)
"Centro de Alfabetización, Educación Básica y Trabajo N° 42","PriAdu - OSEAdu","Nivel Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Programa de Alfabetización, Educación Básica y Trabajo para Jóvenes y Adultos",5,"1",103314.1552,101985.6277,"Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.4271654026115,-34.6113656088554,"Primario",1,c(-58.4271654026115, -34.6113656088554)
"Esc. Primaria p/Adultos N° 19 Florencio Balcarce","PriAdu - OSEAdu","Nivel Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Escuela Primaria para Adultos",5,"1",103749.1929,103118.5837,"Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.4224271077192,-34.6011511954019,"Primario",1,c(-58.4224271077192, -34.6011511954019)
"Esc. Primaria Común N° 22 Remedios de Escalada de San Martin","PriCom","Nivel Primario Común","Escuela de Jornada Completa",13,"1",101065.4811,108529.5736,"Primario Común",-58.4516905339946,-34.5523801685671,"Primario",1,c(-58.4516905339946, -34.5523801685671)
"Escuela Infantil N° 08/21°","IniCom","Nivel Inicial Común","Escuela Infantil",8,"1",99655.4405,94742.8638,"Inicial Común",-58.4670598780913,-34.6766596236657,"Inicial",1,c(-58.4670598780913, -34.6766596236657)
"Escuela Nacional Fluvial (Armada Argentina)","SNUCom","Nivel Superior No Universitario Común","No Corresponde - Gob Nac",4,"1",110323.6485,99989.2657,"Superior No Universitario Común",-58.3507166346322,-34.6293153843524,"Superior",1,c(-58.3507166346322, -34.6293153843524)
"Esc. de Educación Media N° 06/05°","SecCom","Nivel Secundario Común","Escuela de Educación Media",4,"1",106073.2731,97417.3189,"Secundario Común",-58.3970502499035,-34.6525335960226,"Secundario",1,c(-58.3970502499035, -34.6525335960226)
"Jardín Ta Te Ti Nuñez","OSECom","Otros Servicios Educativos de la modalidad Común","Instituto Educativo Asistencial No Incorporado a la Enseñanza Oficial",13,"1",99624.4172,109200.4075,"Otros Servicios Educativos de la modalidad Común",-58.4673910546591,-34.5463333392325,"Otros",1,c(-58.4673910546591, -34.5463333392325)
"Inst. Medalla Milagrosa","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",7,"1",101547.7362,99221.5563,"Inicial, Primario y Secundario Común",-58.4464198471409,-34.6362861283984,"Inicial a Secundario",3,c(-58.4464198471409, -34.6362861283984)
"Esc. Primaria p/Adultos N° 29 Manuel Belgrano","PriAdu - OSEAdu","Nivel Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Escuela Primaria para Adultos",4,"1",109318.8919,98961.4442,"Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.3616626283341,-34.6385901109403,"Primario",1,c(-58.3616626283341, -34.6385901109403)
"Jardín Maternal N° 06/13","IniCom","Nivel Inicial Común","Jardín Maternal",9,"1",95935.4512,97602.6051,"Inicial Común",-58.5076368968951,-34.6508727532048,"Inicial",1,c(-58.5076368968951, -34.6508727532048)
"Inst. Industrial Luis A. Huergo","SecCom","Nivel Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",1,"1",108137.4943,101385.6814,"Secundario Común",-58.374570737364,-34.6167471129947,"Secundario",1,c(-58.374570737364, -34.6167471129947)
"Escuela Infantil Pequitas","OSECom","Otros Servicios Educativos de la modalidad Común","Instituto Educativo Asistencial No Incorporado a la Enseñanza Oficial",9,"1",99684.7503,98037.2995,"Otros Servicios Educativos de la modalidad Común",-58.4667386209034,-34.6469624754126,"Otros",1,c(-58.4667386209034, -34.6469624754126)
"Asoc Civil Jardín Maternal y de Infantes Eva Perón","OSECom","Otros Servicios Educativos de la modalidad Común","Instituto Educativo Asistencial no Incorporado a la Enseñanza Oficial",1,"1",108035.1569,102028.4307,"Otros Servicios Educativos de la modalidad Común",-58.3756926409119,-34.6109539151648,"Otros",1,c(-58.3756926409119, -34.6109539151648)
"Esc. Primaria Común N° 15 República Oriental del Uruguay","PriCom","Nivel Primario Común","Escuela de Jornada Simple",7,"1",100724.1274,99924.7833,"Primario Común",-58.4554029149136,-34.6299478404431,"Primario",1,c(-58.4554029149136, -34.6299478404431)
"Inst. Gloria de la Mañana","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",2,"1",106935.4962,104006.2116,"Inicial, Primario y Secundario Común",-58.3876982288249,-34.5931333298648,"Inicial a Secundario",3,c(-58.3876982288249, -34.5931333298648)
"Inst. Finedu","SNUCom","Nivel Superior No Universitario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",1,"1",107734.3564,102023.5873,"Superior No Universitario Común",-58.378972212833,-34.6109998703061,"Superior",1,c(-58.378972212833, -34.6109998703061)
"Inst. Ntra. Sra. de la Divina Providencia","IniCom - PriCom","Nivel Inicial y Primario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",4,"1",104780.1177,97572.5389,"Inicial y Primario Común",-58.4111573825486,-34.6511411673281,"Inicial a Primario",2,c(-58.4111573825486, -34.6511411673281)
"Inst. Santísimo Corazón de Jesús","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",10,"1",96011.229,99795.9842,"Inicial, Primario y Secundario Común",-58.5067998300566,-34.631101131114,"Inicial a Secundario",3,c(-58.5067998300566, -34.631101131114)
"Colegio Internacional de Las Islas","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",13,"1",100620.4293,107056.6258,"Inicial, Primario y Secundario Común",-58.4565385391333,-34.5656583837815,"Inicial a Secundario",3,c(-58.4565385391333, -34.5656583837815)
"Esc. Primaria Común N° 14 Gral. Mariano Necochea","PriCom","Nivel Primario Común","Escuela de Jornada Completa",1,"1",106940.6123,101668.8647,"Primario Común",-58.38762350043,-34.6142031152031,"Primario",1,c(-58.38762350043, -34.6142031152031)
"Esc. de Música N° 14","OSECom","Otros Servicios Educativos de la modalidad Común","Escuela de Música - Primaria",9,"1",94681.2157,98760.0635,"Otros Servicios Educativos de la modalidad Común",-58.5213109943896,-34.6404331995881,"Otros",1,c(-58.5213109943896, -34.6404331995881)
"Inst. Mater Ter Admirabilis","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",3,"1",104804.1021,100951.0276,"Inicial, Primario y Secundario Común",-58.4109146869491,-34.6206860979083,"Inicial a Secundario",3,c(-58.4109146869491, -34.6206860979083)
"Inst. San Cayetano","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",9,"1",94064.2741,99042.5276,"Inicial, Primario y Secundario Común",-58.5280378695647,-34.6378835452693,"Inicial a Secundario",3,c(-58.5280378695647, -34.6378835452693)
"Esc. Primaria Común N° 03 Emilio Giménez Zapiola","PriCom","Nivel Primario Común","Escuela de Jornada Completa",10,"1",98468.1734,99799.8809,"Primario Común",-58.4800053556253,-34.6310727494093,"Primario",1,c(-58.4800053556253, -34.6310727494093)
"Esc. Primaria Común N° 12 Horacio Quiroga","PriCom","Nivel Primario Común","Escuela de Jornada Simple",4,"1",106073.2731,97417.3189,"Primario Común",-58.3970502499035,-34.6525335960226,"Primario",1,c(-58.3970502499035, -34.6525335960226)
"CENOF Centro Saraza","OSEAdu","Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Centro de Educación No Formal",7,"1",103481.0317,99135.6854,"Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.4253344300915,-34.6370555637151,"Otros",1,c(-58.4253344300915, -34.6370555637151)
"Escuela Infantil Rincón de Duendes","OSECom","Otros Servicios Educativos de la modalidad Común","Instituto Educativo Asistencial No Incorporado a la Enseñanza Oficial",11,"1",96447.3837,102186.7931,"Otros Servicios Educativos de la modalidad Común",-58.5020331303165,-34.6095510551841,"Otros",1,c(-58.5020331303165, -34.6095510551841)
"Esc. Primaria Común N° 20 Mariano Sánchez de Loria","PriCom","Nivel Primario Común","Escuela de Jornada Simple",9,"1",94526.2381,99210.0599,"Primario Común",-58.5229983716395,-34.6363759422194,"Primario",1,c(-58.5229983716395, -34.6363759422194)
"Jardín Maternal Stella Maris","OSECom","Otros Servicios Educativos de la modalidad Común","Instituto Educativo Asistencial no Incorporado a la Enseñanza Oficial",6,"1",102743.6036,102692.1091,"Otros Servicios Educativos de la modalidad Común",-58.433388378517,-34.6049987442329,"Otros",1,c(-58.433388378517, -34.6049987442329)
"Inst. Superior Porteño Virgen del Pilar","SecCom","Nivel Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",13,"1",101434.4104,107797.2261,"Secundario Común",-58.4476697420892,-34.5589814831271,"Secundario",1,c(-58.4476697420892, -34.5589814831271)
"Jardín de Infantes Nucleado C (EPCjc 16/12°)","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",10,"1",97472.2493,101068.8939,"Inicial Común",-58.4908626424879,-34.6196313447441,"Inicial",1,c(-58.4908626424879, -34.6196313447441)
"Inst. Superior de Educación para la Salud y el Derecho","SNUCom","Nivel Superior No Universitario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",3,"1",106330.855,103083.7784,"Superior No Universitario Común",-58.394282384028,-34.6014524101282,"Superior",1,c(-58.394282384028, -34.6014524101282)
"Jardín de Infantes Nucleado E (EPCjs 18/18°)","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",10,"1",96002.248,100243.9744,"Inicial Común",-58.5068956317341,-34.6270627397576,"Inicial",1,c(-58.5068956317341, -34.6270627397576)
"CENOF Centro Anchorena","OSEAdu","Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Centro de Educación No Formal",3,"1",104846.1515,102724.5466,"Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.4104661848062,-34.6046986791538,"Otros",1,c(-58.4104661848062, -34.6046986791538)
"CENOF Centro San Cayetano","OSEAdu","Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Centro de Educación No Formal",9,"1",94053.9555,99123.8055,"Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.5281498336892,-34.637150815962,"Otros",1,c(-58.5281498336892, -34.637150815962)
"Esc. Primaria Común N° 12 Gran Mariscal del Perú Ramón Castilla","PriCom","Nivel Primario Común","Escuela de Jornada Simple",13,"1",101014.3704,105866.6363,"Primario Común",-58.4522443978993,-34.5763852197142,"Primario",1,c(-58.4522443978993, -34.5763852197142)
"Nueva Escuela de Educación La Obra","IniCom - PriCom","Nivel Inicial y Primario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",7,"1",100105.6525,100435.5544,"Inicial y Primario Común",-58.4621476962637,-34.6253437679319,"Inicial a Primario",2,c(-58.4621476962637, -34.6253437679319)
"Escuela Infantil Aymará","OSECom","Otros Servicios Educativos de la modalidad Común","Instituto Educativo Asistencial No Incorporado a la Enseñanza Oficial",8,"1",99047.269,93409.558,"Otros Servicios Educativos de la modalidad Común",-58.4736975763509,-34.6886780344203,"Otros",1,c(-58.4736975763509, -34.6886780344203)
"Centro de Formación Profesional N° 01","OSECom - OSEAdu","Otros Servicios Educativos de las modalidades Común y de Jóvenes y Adultos","Centro de Formación Profesional",4,"1",108045.8676,97695.5264,"Otros Servicios Educativos de las modalidades Común y de Jóvenes y Adultos",-58.3755350201451,-34.6500122544478,"Otros",1,c(-58.3755350201451, -34.6500122544478)
"Inst. Superior de Seguridad Pública","SNUCom","Nivel Superior No Universitario Común","No Corresponde (Justicia y Seguridad)",9,"1",99880.8689,97081.1855,"Superior No Universitario Común",-58.4645996178968,-34.6555812778711,"Superior",1,c(-58.4645996178968, -34.6555812778711)
"Jardín de la Unión","OSECom","Otros Servicios Educativos de la modalidad Común","Instituto Educativo Asistencial No Incorporado a la Enseñanza Oficial",1,"1",108405.9236,104850.181,"Otros Servicios Educativos de la modalidad Común",-58.3716779394852,-34.5855145190777,"Otros",1,c(-58.3716779394852, -34.5855145190777)
"Instituto de Formación Técnica Superior N° 15","SNUCom - OSEAdu","Nivel Superior No Universitario Común - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Instituto de Educación Superior (Formación Técnica)",2,"1",106046.2363,105392.4356,"Superior No Universitario Común - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.3974015024951,-34.5806428643186,"Superior",1,c(-58.3974015024951, -34.5806428643186)
"Instituto de Formación Técnica Superior N° 23","SNUCom - OSEAdu","Nivel Superior No Universitario Común - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Instituto de Educación Superior (Formación Técnica)",1,"1",107353.2063,100961.2286,"Superior No Universitario Común - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.3831187404687,-34.6205791756921,"Superior",1,c(-58.3831187404687, -34.6205791756921)
"Inst. Madre de los Emigrantes","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",4,"1",109125.302,100176.0923,"Inicial, Primario y Secundario Común",-58.3637870279745,-34.6276425572191,"Inicial a Secundario",3,c(-58.3637870279745, -34.6276425572191)
"Esc. de Educacion Media N° 07/04° Escuela de la Ribera","SecCom","Nivel Secundario Común","Escuela de Educación Media",4,"1",109336.9166,99560.4298,"Secundario Común",-58.3614726007468,-34.6331904743001,"Secundario",1,c(-58.3614726007468, -34.6331904743001)
"Inst. Patronato Español Virgen de Pilar","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",13,"1",101415.3001,105965.8479,"Inicial, Primario y Secundario Común",-58.4478750419424,-34.5754904276718,"Inicial a Secundario",3,c(-58.4478750419424, -34.5754904276718)
"Escuela Técnica Ort 02","SecCom","Nivel Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",13,"1",100796.3084,108723.2068,"Secundario Común",-58.454623426765,-34.5506348909589,"Secundario",1,c(-58.454623426765, -34.5506348909589)
"Esc. Primaria Común N° 16 Ejército de Los Andes","PriCom","Nivel Primario Común","Escuela de Jornada Simple",12,"1",98412.4227,105704.7492,"Primario Común",-58.4806019239417,-34.5778436801479,"Primario",1,c(-58.4806019239417, -34.5778436801479)
"Jardín de Infantes Nucleado D (EPCjc 18/09°)","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",15,"1",102719.2451,103805.6114,"Inicial Común",-58.4336574337844,-34.5949612202575,"Inicial",1,c(-58.4336574337844, -34.5949612202575)
"Esc. Superior de Educación Artística en Arte Cerámico Nª 2 Fernando Arranz","SecCom - SNUCom - OSECom - OSEAdu","Nivel Secundario Común - Nivel Superior No Universitario Común - Otros Servicios Educativos de las modalidadades Común y de Jóvenes y Adultos","Escuela Superior de Educación Artística",10,"1",96292.2304,99972.4784,"Secundario Común - Superior No Universitario Común - Otros Servicios Educativos de las modalidadades Común y de Jóvenes y Adultos",-58.5037345566735,-34.6295112142799,"Secundario a Superior",2,c(-58.5037345566735, -34.6295112142799)
"Jardín de Infantes Nucleado C (EPCjc 28/04°) [Sede]","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",4,"1",107841.8998,98352.52,"Inicial Común",-58.377765955069,-34.6440914538405,"Inicial",1,c(-58.377765955069, -34.6440914538405)
"Centro de Actividades Infantiles y Juveniles","OSECom","Otros Servicios Educativos de la modalidad Común","Centro de Actividades Infantiles y Juveniles",12,"1",97285.7122,107518.7805,"Otros Servicios Educativos de la modalidad Común",-58.4928756342255,-34.5614887238357,"Otros",1,c(-58.4928756342255, -34.5614887238357)
"Colegio del Sendero Infantina","IniCom","Nivel Inicial Común","Instituto Educativo Incorporado a la Enseñanza Oficial",15,"1",98885.4578,102997.7268,"Inicial Común",-58.4754502088698,-34.6022466310806,"Inicial",1,c(-58.4754502088698, -34.6022466310806)
"Esc. Primaria Común N° 13 Provincia de Santiago del Estero","PriCom","Nivel Primario Común","Escuela de Jornada Simple",1,"1",107135.3343,101406.9646,"Primario Común",-58.3854981853658,-34.6165626622457,"Primario",1,c(-58.3854981853658, -34.6165626622457)
"Jardín de Infantes Integral N° 04/15°","IniCom","Nivel Inicial Común","Jardín de Infantes Integral",12,"1",98074.4473,106109.7542,"Inicial Común",-58.4842844545228,-34.5741921809223,"Inicial",1,c(-58.4842844545228, -34.5741921809223)
"Inst. ESBA - Flores","IniCom - PriCom - SecCom - SecAdu - SNUCom","Nivel Inicial, Primario, Secundario y Superior No Universitario Común - Nivel Secundario de Jóvenes y Adultos","Instituto Educativo Incorporado a la Enseñanza Oficial",7,"1",99765.143,99776.8269,"Inicial, Primario, Secundario y Superior No Universitario Común - Secundario de Jóvenes y Adultos",-58.4658611277409,-34.6312817536921,"Inicial a Superior",4,c(-58.4658611277409, -34.6312817536921)
"Programa Contextos de Encierro UCDevoto","PriAdu - SecAdu","Nivel Primario y Secundario de Jóvenes y Adultos","Programa en Contextos de Encierro",11,"1",95255.3211,101579.9754,"Primario y Secundario de Jóvenes y Adultos",-58.5150333645949,-34.6150162754492,"Primario a Secundario",2,c(-58.5150333645949, -34.6150162754492)
"Esc. Primaria Común N° 24 C. y F. Pizarro y M. Pizarro y Monje","PriCom","Nivel Primario Común","Escuela de Jornada Completa",2,"1",105659.2099,104555.4709,"Primario Común",-58.4016141849426,-34.5881898230079,"Primario",1,c(-58.4016141849426, -34.5881898230079)
"Inst. Stanford Binet","OSECom","Otros Servicios Educativos de la modalidad Común","Instituto Educativo Asistencial no Incorporado a la Enseñanza Oficial",4,"1",108140.2656,98980.8637,"Otros Servicios Educativos de la modalidad Común",-58.374517587306,-34.6384250285522,"Otros",1,c(-58.374517587306, -34.6384250285522)
"Centro Educativo de Nivel Secundario N° 66 Veteranos de Guerra de Malvinas","SecAdu","Nivel Secundario de Jóvenes y Adultos","Centro Educativo de Nivel Secundario",11,"1",95201.3976,103371.937,"Secundario de Jóvenes y Adultos",-58.5156110727226,-34.5988625343824,"Secundario",1,c(-58.5156110727226, -34.5988625343824)
"Centro de Formación Profesional N° 08 (anexo)","OSECom - OSEAdu","Otros Servicios Educativos de las modalidades Común y de Jóvenes y Adultos","Centro de Formación Profesional",5,"1",103826.3427,102239.1946,"Otros Servicios Educativos de las modalidades Común y de Jóvenes y Adultos",-58.4215821374243,-34.6090780978573,"Otros",1,c(-58.4215821374243, -34.6090780978573)
"Centro Educativo de Nivel Primario N° 27","PriAdu","Nivel Primario de Jóvenes y Adultos","Centro Educativo de Nivel Primario",4,"1",107163.937,98872.5367,"Primario de Jóvenes y Adultos",-58.3851650597127,-34.639408761957,"Primario",1,c(-58.3851650597127, -34.639408761957)
"Jardín Retoño","IniCom","Nivel Inicial Común","Instituto Educativo Incorporado a la Enseñanza Oficial",5,"1",103949.8659,103175.5745,"Inicial Común",-58.4202396948123,-34.6006367143756,"Inicial",1,c(-58.4202396948123, -34.6006367143756)
"Centro Educativo de Nivel Primario N° 35","PriAdu","Nivel Primario de Jóvenes y Adultos","Centro Educativo de Nivel Primario",9,"1",97492.8838,96451.856,"Primario de Jóvenes y Adultos",-58.4906516026925,-34.6612510811123,"Primario",1,c(-58.4906516026925, -34.6612510811123)
"Escuela Infantil N° 09/05°","IniCom","Nivel Inicial Común","Escuela Infantil",4,"1",105345.5384,97124.2871,"Inicial Común",-58.4049868454181,-34.6551791015694,"Inicial",1,c(-58.4049868454181, -34.6551791015694)
"Esc. Primaria Común N° 02 República de Panamá","PriCom","Nivel Primario Común","Escuela de Jornada Completa",11,"1",96215.3978,103926.8818,"Primario Común",-58.5045545527183,-34.5938643140535,"Primario",1,c(-58.5045545527183, -34.5938643140535)
"Inst. Sudamericano para la Enseñanza de la Comunicación","SNUCom","Nivel Superior No Universitario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",3,"1",106073.6138,102900.8325,"Superior No Universitario Común",-58.3970854591701,-34.6031031016823,"Superior",1,c(-58.3970854591701, -34.6031031016823)
"Esc. Primaria Común N° 08 Luis Federico Leloir","PriCom","Nivel Primario Común","Escuela de Jornada Completa",8,"1",103147.9179,96650.8051,"Primario Común",-58.4289584233304,-34.6594562213585,"Primario",1,c(-58.4289584233304, -34.6594562213585)
"Escuela Profesional de Cinematografía","SNUCom","Nivel Superior No Universitario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",13,"1",100377.9993,108169.3085,"Superior No Universitario Común",-58.4591807350889,-34.5556282232909,"Superior",1,c(-58.4591807350889, -34.5556282232909)
"Escuela Infantil Mi pequeño Sol","OSECom","Otros Servicios Educativos de la modalidad Común","Instituto Educativo Asistencial No Incorporado a la Enseñanza Oficial",7,"1",102742.2268,100123.7689,"Otros Servicios Educativos de la modalidad Común",-58.4333952529053,-34.6281508052613,"Otros",1,c(-58.4333952529053, -34.6281508052613)
"Inst. Cuenta Cuentos","IniCom","Nivel Inicial Común","Instituto Educativo Incorporado a la Enseñanza Oficial",11,"1",95517.0286,102877.237,"Inicial Común",-58.5121729001996,-34.6033234139959,"Inicial",1,c(-58.5121729001996, -34.6033234139959)
"Jardín de Infantes Común N° 01/17° Pablo Neruda","IniCom","Nivel Inicial Común","Jardín de Infantes Común",10,"1",94314.3144,100912.0301,"Inicial Común",-58.5252981488116,-34.6210325675248,"Inicial",1,c(-58.5252981488116, -34.6210325675248)
"ESEA en Danza Mastrazzi Curso Vocacional de Danza y Expresión Corporal Juvenil N° 03","OSECom","Otros Servicios Educativos de la modalidad Común","Escuela Superior de Educación Artística",2,"1",105320.2384,105051.4739,"Otros Servicios Educativos de la modalidad Común",-58.4053120453712,-34.5837204239835,"Otros",1,c(-58.4053120453712, -34.5837204239835)
"Inst. San Bartolomé","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",5,"1",104389.0117,99157.8951,"Inicial, Primario y Secundario Común",-58.4154317659511,-34.6368519212769,"Inicial a Secundario",3,c(-58.4154317659511, -34.6368519212769)
"Jardín Modelo Hermano Sol","OSECom","Otros Servicios Educativos de la modalidad Común","Instituto Educativo Asistencial No Incorporado a la Enseñanza Oficial",11,"1",98816.5622,101735.5932,"Otros Servicios Educativos de la modalidad Común",-58.4762031390036,-34.6136239503761,"Otros",1,c(-58.4762031390036, -34.6136239503761)
"Esc. de Comercio N° 30 Dr. Esteban Agustín Gascón","SecCom","Nivel Secundario Común","Escuela de Comercio",10,"1",95814.2361,99859.991,"Secundario Común",-58.5089478363252,-34.6305233537296,"Secundario",1,c(-58.5089478363252, -34.6305233537296)
"Centro de Formación Profesional N° 39","OSECom - OSEAdu","Otros Servicios Educativos de las modalidades Común y de Jóvenes y Adultos","Centro de Formación Profesional",4,"1",102869.6565,97371.4524,"Otros Servicios Educativos de las modalidades Común y de Jóvenes y Adultos",-58.4319964613024,-34.6529608597285,"Otros",1,c(-58.4319964613024, -34.6529608597285)
"Centro de Alfabetización, Educación Básica y Trabajo N° 24","PriAdu - OSEAdu","Nivel Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Programa de Alfabetización, Educación Básica y Trabajo para Jóvenes y Adultos",15,"1",100742.3297,104751.673,"Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.4552083197654,-34.586436227059,"Primario",1,c(-58.4552083197654, -34.586436227059)
"Esc. Primaria Común N° 22 Felix de Azara","PriCom","Nivel Primario Común","Escuela de Jornada Completa",12,"1",98455.501,107592.7045,"Primario Común",-58.4801288773244,-34.5608248220507,"Primario",1,c(-58.4801288773244, -34.5608248220507)
"Esc. Primaria Común N° 23 Abel Ayerza","PriCom","Nivel Primario Común","Escuela de Jornada Completa",11,"1",95896.3906,103581.9031,"Primario Común",-58.5080336551537,-34.5969728595906,"Primario",1,c(-58.5080336551537, -34.5969728595906)
"Inst. Leon XIII","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",14,"1",102158.0726,105661.6321,"Inicial, Primario y Secundario Común",-58.4397793027868,-34.5782315183492,"Inicial a Secundario",3,c(-58.4397793027868, -34.5782315183492)
"Programa Contextos de encierro Casa Puerto","PriAdu - SecAdu","Nivel Primario y Secundario de Jóvenes y Adultos","Programa en Contextos de Encierro",10,"1",95946.9869,99544.8205,"Primario y Secundario de Jóvenes y Adultos",-58.5075016461488,-34.6333649607653,"Primario a Secundario",2,c(-58.5075016461488, -34.6333649607653)
"Escuela Infantil La Monedita","OSECom","Otros Servicios Educativos de la modalidad Común","Instituto Educativo Asistencial No Incorporado a la Enseñanza Oficial",1,"1",108317.7612,104988.5132,"Otros Servicios Educativos de la modalidad Común",-58.3726402226982,-34.5842682444635,"Otros",1,c(-58.3726402226982, -34.5842682444635)
"Esc. de Comercio N° 09 José Ingenieros","SecCom - SecAdu","Nivel Secundario Común - Nivel Secundario de Jóvenes y Adultos","Escuela de Comercio",7,"1",100314.1388,99973.7994,"Secundario Común - Secundario de Jóvenes y Adultos",-58.4598740425463,-34.6295061759244,"Secundario",1,c(-58.4598740425463, -34.6295061759244)
"Inst. Espíritu Santo","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",10,"1",97639.1872,99680.9184,"Inicial, Primario y Secundario Común",-58.489046288516,-34.6321435051667,"Inicial a Secundario",3,c(-58.489046288516, -34.6321435051667)
"Esc. Domiciliaria N° 01 sede","OSECom","Otros Servicios Educativos de la modalidad Común","Escuela Domiciliaria",11,"1",99092.2121,102406.5194,"Otros Servicios Educativos de la modalidad Común",-58.4731968785217,-34.6075762392393,"Otros",1,c(-58.4731968785217, -34.6075762392393)
"ESEA en Danza Ramicone Curso Vocacional de Folklore N° 10","OSECom","Otros Servicios Educativos de la modalidad Común","Escuela Superior de Educación Artística",5,"1",104114.1416,102093.5917,"Otros Servicios Educativos de la modalidad Común",-58.4184436491458,-34.6103895247261,"Otros",1,c(-58.4184436491458, -34.6103895247261)
"Esc. Primaria Común N° 07 Aristóbulo del Valle","PriCom","Nivel Primario Común","Escuela de Jornada Simple",9,"1",95681.2221,96500.9293,"Primario Común",-58.5104157677744,-34.6608025848407,"Primario",1,c(-58.5104157677744, -34.6608025848407)
"Esc. de Educacion Media N° 05/15°","SecCom","Nivel Secundario Común","Escuela de Educación Media",12,"1",97842.5522,108480.7101,"Secundario Común",-58.4868055191593,-34.5528187654085,"Secundario",1,c(-58.4868055191593, -34.5528187654085)
"Escuela del Siglo Nuevo","PriCom","Nivel Primario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",15,"1",101021.0215,104992.6038,"Primario Común",-58.4521709176543,-34.5842641437284,"Primario",1,c(-58.4521709176543, -34.5842641437284)
